Type,ID,Title,Points,Difficulty,QuestionText,Correct,Hint,Feedback,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Fb1,Fb2,Fb3,Fb4,Fb5,Fb6,Scoring,Image,HTML,Match1,Match2,Match3,Match4,Match5,Match6,InitialText,AnswerKey,InputBox,AnswerMode
MC,COURSE-Q01,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q02,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q03,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q04,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q05,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q06,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q07,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q08,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q09,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q10,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q11,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q12,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q13,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q14,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q15,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q16,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q17,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q18,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q19,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,COURSE-Q20,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
